1681668487.484840 client started (8382): version 3.3a, socket /private/tmp/tmux-501/default, protocol 8
1681668487.484936 on Darwin 22.3.0 Darwin Kernel Version 22.3.0: Mon Jan 30 20:39:35 PST 2023; root:xnu-8792.81.3~2/RELEASE_ARM64_T8103
1681668487.484982 using libevent 2.1.12-stable (select); utf8proc 2.8.0; ncurses 6.3
1681668487.490970 sending message 105 to peer 0x118008000 (51 bytes)
1681668487.490975 sending message 105 to peer 0x118008000 (7 bytes)
1681668487.490980 sending message 105 to peer 0x118008000 (11 bytes)
1681668487.490984 sending message 105 to peer 0x118008000 (59 bytes)
1681668487.490988 sending message 105 to peer 0x118008000 (14 bytes)
1681668487.490993 sending message 105 to peer 0x118008000 (25 bytes)
1681668487.490997 sending message 106 to peer 0x118008000 (0 bytes)
1681668487.491071 sending message 200 to peer 0x118008000 (4 bytes)
1681668487.491078 client loop enter
1681668487.500393 peer 0x118008000 message 207
1681668487.500423 sending message 208 to peer 0x118008000 (0 bytes)
1681668498.596559 peer 0x118008000 message 203
1681668498.596608 sending message 205 to peer 0x118008000 (0 bytes)
1681668498.596902 peer 0x118008000 message 204
1681668498.596920 client loop exit
